numero_opportunidad,cliente,unidad_negocio,etapas,tipos,acv,tcv,margen_ganancia,regiones,territorios,industrias,fecha_creacion_oportunidad,fecha_cierre_oportunidad,edad_oferta,lead_source,numero_vendedor
OP-00000,CL-01169,BU-05,Lost,TY-04,476458.92,943194.18,0.06,RE-02,TE-15,IN-23,2021-08-17,2022-02-06,173.0,LS-06,NV-4
OP-00001,CL-00808,BU-05,Won,TY-00,8715.31,8715.31,0.07,RE-02,TE-01,IN-37,2020-07-23,2020-07-23,0.0,LS-06,NV-4
OP-00002,CL-00234,BU-05,Lost,TY-04,140992.94,140992.94,0.19,RE-02,TE-15,IN-10,2021-06-21,2021-12-11,173.0,LS-14,NV-1
OP-00003,CL-00808,BU-05,Won,TY-00,1333.11,1333.11,0.19,RE-02,TE-00,IN-55,2020-08-09,2020-08-09,0.0,LS-11,NV-0
OP-00004,CL-00815,BU-05,Lost,TY-05,388946.05,388946.05,0.28,RE-02,TE-10,IN-46,2021-06-09,2022-11-22,531.0,LS-28,NV-2
OP-00005,CL-00808,BU-05,Won,TY-00,14983.17,14983.17,0.23,RE-02,TE-14,IN-29,2020-05-29,2020-05-29,0.0,LS-00,NV-1
OP-00006,CL-01235,BU-05,Lost,TY-04,620707.17,1055988.54,0.14,RE-02,TE-05,IN-34,2021-08-09,2023-01-29,538.0,LS-34,NV-3
OP-00007,CL-00808,BU-05,Won,TY-00,5408.29,5408.29,0.09,RE-02,TE-01,IN-33,2020-05-09,2020-05-09,0.0,LS-17,NV-4
OP-00008,CL-00509,BU-05,Lost,TY-05,21780.98,21780.98,0.08,RE-02,TE-05,IN-22,2022-09-19,2022-12-29,101.0,LS-27,NV-0
OP-00009,CL-00808,BU-05,Won,TY-00,3179.63,3179.63,0.18,RE-02,TE-11,IN-37,2020-05-18,2020-05-18,0.0,LS-03,NV-3
OP-00010,CL-00509,BU-05,Won,TY-04,655455.25,1297665.03,0.25,RE-02,TE-13,IN-59,2021-07-06,2022-05-31,329.0,LS-25,NV-3
OP-00011,CL-00808,BU-05,Won,TY-00,8220.37,8220.37,0.15,RE-02,TE-07,IN-43,2020-06-06,2020-06-06,0.0,LS-09,NV-4
OP-00012,CL-00509,BU-05,Won,TY-05,13491.57,13491.57,0.17,RE-02,TE-08,IN-19,2023-04-09,2023-04-09,0.0,LS-23,NV-4
OP-00013,CL-00808,BU-05,Won,TY-00,10731.99,10731.99,0.13,RE-02,TE-02,IN-36,2020-05-08,2020-05-08,0.0,LS-02,NV-3
OP-00014,CL-00509,BU-05,Won,TY-05,13491.57,13491.57,0.1,RE-02,TE-10,IN-62,2023-03-12,2023-03-12,0.0,LS-32,NV-3
OP-00015,CL-00808,BU-05,Won,TY-00,21485.38,21485.38,0.09,RE-02,TE-12,IN-02,2020-05-16,2020-05-16,0.0,LS-02,NV-1
OP-00016,CL-00509,BU-05,Lost,TY-05,116683.82,116683.82,0.22,RE-02,TE-01,IN-41,2023-04-26,2023-07-06,71.0,LS-15,NV-1
OP-00017,CL-00808,BU-05,Won,TY-00,3816.53,3816.53,0.11,RE-02,TE-10,IN-19,2020-04-17,2020-04-17,0.0,LS-22,NV-3
OP-00018,CL-00820,BU-03,Lost,TY-04,447287.96,447287.96,0.22,RE-01,TE-14,IN-32,2019-07-24,2021-01-13,539.0,LS-22,NV-3
OP-00019,CL-00509,BU-05,Lost,TY-05,323311.41,323311.41,0.1,RE-02,TE-00,IN-34,2022-06-22,2023-06-07,350.0,LS-20,NV-2
OP-00020,CL-00808,BU-05,Won,TY-00,20993.36,20993.36,0.08,RE-02,TE-01,IN-61,2020-04-22,2020-04-22,0.0,LS-13,NV-2
OP-00021,CL-01081,BU-05,Lost,TY-04,85892.25,247953.11,0.18,RE-02,TE-15,IN-43,2016-05-26,2018-03-28,671.0,LS-18,NV-3
OP-00022,CL-00509,BU-05,Won,TY-05,1798.88,1798.88,0.11,RE-02,TE-12,IN-25,2023-05-02,2023-05-15,13.0,LS-26,NV-0
OP-00023,CL-00808,BU-05,Won,TY-00,1333.11,1333.11,0.11,RE-02,TE-13,IN-44,2020-06-12,2020-06-12,0.0,LS-04,NV-1
OP-00024,CL-01081,BU-05,Won,TY-00,253.64,253.64,0.2,RE-02,TE-03,IN-38,2018-02-08,2018-02-08,0.0,LS-23,NV-2
OP-00025,CL-00509,BU-05,Won,TY-05,9035.95,9035.95,0.24,RE-02,TE-15,IN-34,2023-03-27,2023-04-16,20.0,LS-19,NV-0
OP-00026,CL-00808,BU-05,Won,TY-00,2741.1,2741.1,0.23,RE-02,TE-08,IN-04,2020-06-23,2020-06-23,0.0,LS-21,NV-0
OP-00027,CL-01081,BU-05,Won,TY-04,33215.99,91557.9,0.25,RE-02,TE-03,IN-26,2018-08-13,2018-08-19,6.0,LS-02,NV-3
